id,producto,cantidad,precio,fecha
1,Impresora,16,181.15,2023-07-08
2,Teléfono,16,565.28,2023-05-31
3,Teclado,9,21.61,2023-01-14
4,Mouse,8,17.75,2023-02-14
5,Teléfono,15,609.08,2023-08-23
6,Mouse,18,26.1,2023-12-16
7,Monitor,4,257.44,2023-09-26
8,Monitor,10,255.33,2023-07-25
9,Teclado,10,38.21,2023-03-18
10,Impresora,17,183.72,2023-03-20
11,Teléfono,17,382.65,2023-02-07
12,Tablet,13,346.86,2023-10-12
13,Mouse,17,23.99,2023-05-14
14,Laptop,18,1486.69,2023-05-09
15,Impresora,3,247.22,2023-02-14
16,Mouse,12,23.2,2023-06-19
17,Laptop,6,1154.51,2023-06-16
18,Teléfono,9,427.74,2023-06-03
19,Teclado,8,45.87,2023-02-25
20,Impresora,15,100.58,2023-07-11
21,Impresora,20,239.96,2023-12-18
22,Mouse,18,22.52,2023-07-26
23,Mouse,12,27.43,2023-06-14
24,Mouse,11,14.19,2023-05-06
25,Tablet,12,434.7,2023-01-26
26,Laptop,16,1047.87,2023-01-22
27,Laptop,11,1124.13,2023-12-22
28,Teléfono,13,775.53,2023-03-20
29,Teclado,1,29.76,2023-10-22
30,Monitor,2,195.22,2023-12-12
31,Teclado,8,20.94,2023-04-27
32,Teclado,14,42.36,2023-04-22
33,Tablet,5,443.96,2023-04-13
34,Teléfono,14,305.99,2023-12-02
35,Mouse,17,16.59,2023-07-01
36,Tablet,8,380.14,2023-08-11
37,Teclado,10,41.13,2023-03-30
38,Impresora,7,228.17,2023-07-17
39,Impresora,8,182.01,2023-05-07
40,Monitor,5,363.8,2023-07-04
41,Impresora,18,215.4,2023-05-06
42,Impresora,15,167.72,2023-01-26
43,Teclado,9,38.66,2023-11-26
44,Teclado,9,23.77,2023-02-12
45,Tablet,20,359.99,2023-02-19
46,Tablet,4,476.64,2023-01-25
47,Monitor,3,264.55,2023-03-05
48,Monitor,15,121.29,2023-07-08
49,Laptop,10,1304.81,2023-03-23
50,Tablet,18,215.66,2023-05-05
51,Monitor,17,254.6,2023-11-27
52,Impresora,5,202.76,2023-03-06
53,Teléfono,16,671.35,2023-04-25
54,Teléfono,16,450.97,2023-03-06
55,Monitor,5,109.54,2023-03-31
56,Laptop,11,1075.46,2023-02-07
57,Monitor,4,265.34,2023-06-16
58,Monitor,7,207.49,2023-03-20
59,Teclado,2,42.24,2023-12-25
60,Laptop,16,871.08,2023-01-16
61,Impresora,9,125.05,2023-06-15
62,Laptop,6,1043.34,2023-12-22
63,Impresora,2,97.35,2023-05-22
64,Teclado,12,28.66,2023-09-13
65,Mouse,1,23.33,2023-11-04
66,Mouse,6,16.04,2023-11-11
67,Tablet,18,334.54,2023-04-10
68,Mouse,6,28.83,2023-05-19
69,Tablet,8,491.87,2023-06-22
70,Teclado,4,25.57,2023-11-11
71,Laptop,2,1059.76,2023-02-08
72,Tablet,19,474.45,2023-02-06
73,Mouse,1,17.9,2023-03-24
74,Tablet,20,281.98,2023-02-15
75,Teclado,20,49.22,2023-11-02
76,Mouse,7,27.54,2023-07-17
77,Mouse,7,22.16,2023-11-20
78,Monitor,9,181.06,2023-03-30
79,Mouse,17,23.07,2023-03-11
80,Teléfono,20,709.86,2023-10-16
81,Mouse,18,12.71,2023-08-29
82,Monitor,15,296.51,2023-03-27
83,Monitor,16,303.27,2023-07-06
84,Monitor,4,395.38,2023-06-03
85,Laptop,18,1415.98,2023-05-13
86,Teléfono,7,470.23,2023-12-10
87,Mouse,5,20.45,2023-03-04
88,Monitor,3,251.77,2023-10-10
89,Tablet,1,197.67,2023-06-20
90,Tablet,17,446.05,2023-08-13
91,Mouse,12,10.96,2023-11-22
92,Teclado,3,20.41,2023-10-09
93,Impresora,14,227.67,2023-11-09
94,Tablet,15,392.01,2023-05-07
95,Mouse,1,13.37,2023-11-28
96,Monitor,2,130.13,2023-05-17
97,Teléfono,7,614.08,2023-06-20
98,Laptop,12,807.93,2023-12-15
99,Impresora,8,84.35,2023-12-10
100,Monitor,9,267.41,2023-12-29
101,Laptop,20,1294.76,2023-05-14
102,Impresora,7,92.62,2023-04-27
103,Teléfono,17,559.8,2023-07-26
104,Teléfono,11,796.71,2023-11-01
105,Impresora,15,231.05,2023-10-24
106,Laptop,2,842.33,2023-11-04
107,Laptop,5,788.9,2023-09-19
108,Mouse,12,13.79,2023-12-15
109,Monitor,18,169.02,2023-02-21
110,Teclado,14,22.1,2023-10-02
111,Teclado,4,30.51,2023-06-24
112,Teléfono,6,712.44,2023-08-17
113,Laptop,3,1487.16,2023-07-07
114,Tablet,2,454.87,2023-08-17
115,Laptop,18,871.52,2023-02-02
116,Mouse,15,25.41,2023-03-28
117,Laptop,10,994.28,2023-11-02
118,Laptop,12,900.03,2023-02-23
119,Impresora,11,169.86,2023-04-05
120,Tablet,17,458.42,2023-03-26
121,Tablet,15,472.07,2023-09-04
122,Laptop,10,1432.46,2023-01-12
123,Tablet,2,446.06,2023-10-19
124,Mouse,14,20.08,2023-04-13
125,Laptop,17,1067.89,2023-12-20
126,Laptop,20,701.49,2023-11-14
127,Impresora,6,198.99,2023-05-31
128,Teléfono,14,342.37,2023-06-29
129,Impresora,4,249.16,2023-03-19
130,Tablet,20,179.73,2023-03-20
131,Tablet,15,475.75,2023-03-09
132,Mouse,2,22.59,2023-04-08
133,Laptop,8,744.88,2023-06-20
134,Laptop,16,896.72,2023-09-29
135,Mouse,10,11.2,2023-03-14
136,Tablet,19,497.45,2023-07-02
137,Mouse,3,18.58,2023-10-22
138,Monitor,17,202.96,2023-11-12
139,Laptop,3,1046.23,2023-05-12
140,Teléfono,16,335.51,2023-08-10
141,Teléfono,19,664.26,2023-01-17
142,Tablet,1,180.85,2023-10-01
143,Mouse,2,29.36,2023-08-05
144,Monitor,3,215.85,2023-04-08
145,Impresora,8,174.57,2023-06-12
146,Mouse,14,13.49,2023-06-30
147,Teléfono,15,523.07,2023-09-13
148,Tablet,19,250.06,2023-03-19
149,Impresora,16,223.67,2023-12-21
150,Impresora,10,106.18,2023-11-22
151,Tablet,16,478.04,2023-06-09
152,Monitor,10,316.38,2023-07-15
153,Teclado,18,20.34,2023-02-06
154,Tablet,1,236.27,2023-12-28
155,Monitor,10,352.22,2023-10-23
156,Tablet,8,491.35,2023-11-11
157,Laptop,7,1484.56,2023-11-15
158,Mouse,7,15.27,2023-09-05
159,Monitor,3,391.96,2023-07-27
160,Impresora,9,124.75,2023-04-14
161,Teléfono,14,535.4,2023-01-30
162,Laptop,4,938.57,2023-06-01
163,Mouse,17,17.53,2023-01-07
164,Impresora,3,178.3,2023-02-25
165,Teléfono,12,362.24,2023-03-30
166,Impresora,8,189.44,2023-11-03
167,Teclado,19,22.48,2023-03-22
168,Teléfono,9,533.99,2023-08-23
169,Laptop,4,1009.49,2023-06-29
170,Mouse,11,28.48,2023-01-12
171,Teclado,17,30.78,2023-09-10
172,Mouse,18,28.46,2023-12-09
173,Tablet,13,160.18,2023-04-19
174,Mouse,5,24.95,2023-08-03
175,Teclado,2,25.44,2023-07-19
176,Teléfono,12,343.13,2023-08-25
177,Mouse,20,13.69,2023-07-03
178,Impresora,13,206.52,2023-08-12
179,Impresora,12,125.94,2023-06-19
180,Laptop,16,1390.69,2023-10-04
181,Monitor,16,197.0,2023-11-26
182,Mouse,20,18.25,2023-03-20
183,Laptop,13,892.21,2023-10-30
184,Tablet,14,156.38,2023-03-21
185,Laptop,7,1137.58,2023-11-22
186,Impresora,15,145.05,2023-03-16
187,Laptop,1,959.1,2023-02-01
188,Impresora,3,214.11,2023-11-14
189,Teclado,8,28.54,2023-11-22
190,Tablet,4,410.88,2023-05-14
191,Mouse,17,28.89,2023-10-28
192,Teléfono,12,216.74,2023-07-14
193,Tablet,13,458.8,2023-04-05
194,Monitor,1,257.42,2023-09-17
195,Laptop,7,1015.9,2023-06-16
196,Tablet,17,197.68,2023-10-07
197,Laptop,13,1131.72,2023-02-16
198,Teléfono,2,288.89,2023-03-14
199,Mouse,6,14.62,2023-02-25
200,Monitor,5,276.83,2023-07-01
201,Mouse,15,28.44,2023-10-10
202,Teclado,1,34.96,2023-08-21
203,Laptop,9,1258.67,2023-07-18
204,Teclado,12,35.53,2023-04-22
205,Teléfono,10,418.39,2023-06-26
206,Tablet,5,205.83,2023-07-07
207,Teléfono,20,725.22,2023-11-11
208,Laptop,8,1210.54,2023-01-13
209,Tablet,11,357.9,2023-07-09
210,Tablet,5,164.96,2023-08-29
211,Tablet,12,291.41,2023-01-12
212,Mouse,20,20.73,2023-08-23
213,Impresora,5,165.28,2023-10-28
214,Laptop,7,1474.48,2023-06-20
215,Teclado,1,47.41,2023-07-12
216,Impresora,15,212.51,2023-06-09
217,Teclado,18,43.93,2023-04-20
218,Teclado,16,38.8,2023-11-26
219,Monitor,17,340.07,2023-05-23
220,Monitor,2,340.14,2023-11-07
221,Monitor,15,129.57,2023-10-08
222,Teléfono,4,555.82,2023-07-13
223,Monitor,7,348.71,2023-11-23
224,Teclado,19,20.07,2023-09-27
225,Tablet,16,313.01,2023-04-29
226,Laptop,18,1335.56,2023-07-13
227,Teclado,16,36.94,2023-12-07
228,Tablet,6,168.57,2023-02-13
229,Impresora,10,192.0,2023-09-29
230,Laptop,12,1247.09,2023-12-30
231,Tablet,16,181.73,2023-09-26
232,Impresora,18,126.97,2023-03-13
233,Mouse,14,19.81,2023-06-25
234,Teléfono,20,334.55,2023-05-16
235,Impresora,4,184.58,2023-12-22
236,Mouse,2,26.23,2023-03-29
237,Mouse,12,11.07,2023-09-19
238,Laptop,20,829.0,2023-05-10
239,Teclado,9,30.52,2023-11-11
240,Teléfono,13,676.36,2023-07-11
241,Teclado,16,43.1,2023-02-22
242,Mouse,17,11.86,2023-09-06
243,Tablet,16,403.24,2023-04-28
244,Monitor,9,295.2,2023-02-13
245,Mouse,5,13.42,2023-05-03
246,Teléfono,18,426.91,2023-03-28
247,Monitor,16,337.42,2023-10-07
248,Tablet,12,157.45,2023-09-23
249,Tablet,20,428.58,2023-07-20
250,Monitor,8,159.81,2023-01-03
251,Monitor,17,236.75,2023-08-17
252,Teclado,17,17.22,2023-07-13
253,Teléfono,7,711.71,2023-05-06
254,Mouse,11,29.94,2023-03-09
255,Monitor,18,163.69,2023-04-18
256,Laptop,18,1187.74,2023-10-24
257,Mouse,5,26.44,2023-12-02
258,Monitor,2,307.24,2023-08-17
259,Teclado,3,16.35,2023-03-25
260,Teclado,6,47.8,2023-06-30
261,Tablet,5,194.6,2023-10-03
262,Impresora,4,106.53,2023-01-23
263,Teclado,9,22.93,2023-11-05
264,Laptop,4,1179.56,2023-07-12
265,Impresora,6,184.82,2023-08-07
266,Monitor,15,389.96,2023-10-09
267,Tablet,1,482.17,2023-10-16
268,Impresora,17,161.31,2023-06-22
269,Teclado,6,31.5,2023-11-06
270,Impresora,13,234.61,2023-11-14
271,Tablet,17,373.6,2023-01-17
272,Teléfono,3,210.47,2023-09-21
273,Impresora,16,85.78,2023-03-25
274,Impresora,6,122.43,2023-11-07
275,Laptop,10,1460.52,2023-08-29
276,Impresora,9,111.44,2023-12-08
277,Teléfono,18,424.62,2023-11-09
278,Teclado,5,34.12,2023-01-12
279,Monitor,4,392.03,2023-03-17
280,Teclado,10,46.22,2023-01-06
281,Teclado,5,49.55,2023-07-13
282,Teléfono,3,724.53,2023-02-19
283,Monitor,4,196.49,2023-04-30
284,Tablet,9,236.43,2023-11-09
285,Laptop,9,1384.11,2023-06-21
286,Laptop,17,1434.71,2023-01-02
287,Tablet,17,444.62,2023-01-15
288,Laptop,14,1367.62,2023-01-20
289,Teléfono,11,370.57,2023-10-09
290,Impresora,1,206.49,2023-03-09
291,Tablet,2,476.33,2023-01-19
292,Laptop,18,1169.21,2023-09-14
293,Teclado,19,40.68,2023-12-05
294,Mouse,17,28.88,2023-10-04
295,Tablet,14,494.6,2023-07-06
296,Tablet,1,355.16,2023-06-21
297,Teclado,8,28.58,2023-03-18
298,Tablet,2,393.02,2023-08-22
299,Monitor,1,289.83,2023-09-17
300,Teléfono,12,329.99,2023-06-14
301,Laptop,14,944.62,2023-04-20
302,Impresora,12,136.72,2023-11-08
303,Monitor,5,220.71,2023-12-21
304,Impresora,14,148.29,2023-05-09
305,Laptop,10,1316.86,2023-06-19
306,Teléfono,16,763.98,2023-08-02
307,Tablet,15,394.44,2023-09-30
308,Teléfono,2,252.11,2023-04-16
309,Mouse,2,16.06,2023-01-13
310,Tablet,6,341.94,2023-07-28
311,Tablet,3,426.09,2023-09-04
312,Teléfono,5,569.95,2023-12-15
313,Teléfono,7,227.92,2023-02-14
314,Tablet,11,321.89,2023-02-10
315,Monitor,1,170.55,2023-11-08
316,Monitor,20,383.0,2023-12-27
317,Teclado,9,30.89,2023-10-19
318,Monitor,7,113.17,2023-04-09
319,Laptop,4,1189.59,2023-08-14
320,Teléfono,2,543.79,2023-06-29
321,Monitor,20,392.84,2023-01-19
322,Impresora,10,84.2,2023-01-09
323,Laptop,10,828.73,2023-12-06
324,Tablet,17,469.95,2023-03-05
325,Teléfono,8,226.58,2023-07-26
326,Impresora,3,116.38,2023-12-13
327,Monitor,10,282.18,2023-10-21
328,Teléfono,2,420.83,2023-11-19
329,Impresora,14,102.1,2023-09-11
330,Mouse,9,26.66,2023-04-02
331,Teclado,7,33.01,2023-12-23
332,Monitor,7,366.42,2023-12-17
333,Laptop,11,1353.04,2023-10-03
334,Monitor,5,385.43,2023-09-11
335,Monitor,12,280.58,2023-12-04
336,Teléfono,13,680.81,2023-06-21
337,Impresora,11,246.77,2023-06-22
